name,link,last,high,low,change,change_percent,volume
VisDynamics,https://www.investing.com/equities/visdynamics-holdings-bhd,0.595,0.605,0.580,-0.010,-1.65%,570.40K
CapitaLand Malaysia Mall,https://www.investing.com/equities/capitamalls-malaysia-trust,1.140,1.150,1.140,0.000,0.00%,568.60K
Scomi Group Bhd,https://www.investing.com/equities/scomi-group-bhd,0.060,0.065,0.060,0.000,0.00%,568.50K
Cahya Mata Sarawak,https://www.investing.com/equities/cahya-mata-sarawak-bhd,3.190,3.260,3.170,-0.060,-1.85%,562.10K
Careplus Group,https://www.investing.com/equities/careplus-group-bhd,0.210,0.210,0.205,+0.005,+2.44%,557.30K
Konsortium Transnasional,https://www.investing.com/equities/konsortium-transnasional-bhd,0.075,0.080,0.070,-0.005,-6.25%,551.00K
Straits Inter Logistics,https://www.investing.com/equities/raya-international-bhd,0.235,0.245,0.235,-0.005,-2.08%,543.10K
Protasco,https://www.investing.com/equities/protasco-bhd,0.390,0.400,0.390,-0.010,-2.50%,542.50K
Kejuruteraan Asastera,https://www.investing.com/equities/kejuruteraan-asastera,0.270,0.270,0.265,0.000,0.00%,538.90K
HUBLine,https://www.investing.com/equities/hubline-bhd,0.060,0.060,0.055,0.000,0.00%,527.10K
Muhibbah Engineering,https://www.investing.com/equities/muhibbah-engineering-m-bhd,2.890,2.980,2.840,-0.060,-2.03%,521.40K
Greenyield,https://www.investing.com/equities/greenyield-bhd,0.145,0.145,0.145,-0.005,-3.33%,519.30K
Petronas Dagangan,https://www.investing.com/equities/petronas-dagangan-bhd,26.52,26.62,26.40,-0.08,-0.30%,518.40K
Pentamaster Corp,https://www.investing.com/equities/pentamaster-corporation-bhd,3.540,3.580,3.490,-0.030,-0.84%,516.90K
Thriven Global,https://www.investing.com/equities/mulpha-land-bhd,0.305,0.310,0.300,+0.010,+3.39%,510.70K
MMAG Holdings,https://www.investing.com/equities/mmag-holdings-bhd,0.280,0.280,0.280,-0.005,-1.75%,508.10K
HeveaBoard,https://www.investing.com/equities/heveaboard-bhd,0.900,0.905,0.895,0.000,0.00%,503.60K
Salutica Bhd,https://www.investing.com/equities/salutica-bhd,0.565,0.580,0.555,+0.005,+0.89%,503.10K
Mitrajaya,https://www.investing.com/equities/mitrajaya-holdings-bhd,0.430,0.445,0.430,0.000,0.00%,497.80K
Privasia Technology Bhd,https://www.investing.com/equities/privasia-technology-bhd,0.090,0.090,0.090,0.000,0.00%,494.30K
OSK,https://www.investing.com/equities/osk-holdings-bhd,0.985,1.000,0.985,-0.010,-1.01%,492.70K
Sasbadi,https://www.investing.com/equities/sasbadi-holdings-bhd,0.305,0.310,0.305,-0.010,-3.17%,491.10K
Tune Protect Group Bhd,https://www.investing.com/equities/tune-protect-group-bhd,0.800,0.805,0.795,+0.005,+0.63%,487.10K
GSB,https://www.investing.com/equities/gsb-group-bhd,0.200,0.205,0.200,-0.010,-4.76%,483.40K
Boustead Plantations,https://www.investing.com/equities/boustead-plantations-bhd,1.190,1.200,1.190,-0.010,-0.83%,474.60K
Sinotop,https://www.investing.com/equities/sinotop-holdings-bhd,0.295,0.335,0.290,-0.045,-13.24%,469.60K
Land General,https://www.investing.com/equities/land-general-bhd,0.195,0.195,0.190,+0.005,+2.63%,460.00K
MMAG Pref,https://www.investing.com/equities/mmag-pref,0.125,0.125,0.125,0.000,0.00%,460.00K
CAB Cakaran Corp,https://www.investing.com/equities/cab-cakaran-corporation-bhd,0.815,0.825,0.805,0.000,0.00%,457.90K
Ranhill Holdings,https://www.investing.com/equities/symphony-house-bhd,0.770,0.770,0.755,+0.010,+1.32%,457.30K
Dayang Enterprise,https://www.investing.com/equities/dayang-enterprise-holdings-bhd,0.695,0.705,0.690,+0.005,+0.72%,456.00K
Dutaland,https://www.investing.com/equities/dutaland-bhd,0.555,0.555,0.550,+0.005,+0.91%,449.50K
GFM Services,https://www.investing.com/equities/gfm-services,0.480,0.485,0.475,-0.005,-1.03%,449.20K
Prinsiptek Corp,https://www.investing.com/equities/prinsiptek-corporation-bhd,0.130,0.130,0.125,0.000,0.00%,448.00K
AFFIN,https://www.investing.com/equities/affin-holdings-bhd,2.400,2.430,2.330,+0.050,+2.13%,444.40K
Efficient E Solutions,https://www.investing.com/equities/efficient-e-solutions-bhd,0.225,0.225,0.220,-0.010,-4.26%,444.00K
Anzo Holdings,https://www.investing.com/equities/harvest-court-industries-bhd,0.050,0.050,0.045,+0.005,+11.11%,443.00K
